"No.","Time","Source","Destination","Protocol","Length","Info"
"2803","46.208553","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2804","46.208553","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2805","46.208553","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2806","46.208652","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2807","46.208652","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2808","46.208712","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"2809","46.208822","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"2810","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2811","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2812","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2813","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2814","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2815","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2816","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2817","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2818","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2819","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2820","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2821","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2822","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2823","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2824","46.209917","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2825","46.210011","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2826","46.210203","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"2827","46.210427","192.168.100.80","36.92.238.141","UDP","77","50600  >  443 Len=35"
"2828","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2829","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2830","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2831","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2832","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2833","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2834","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2835","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2836","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2837","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
"2838","46.211374","36.92.238.141","192.168.100.80","UDP","1292","443  >  50600 Len=1250"
